Name,Address,Phone,ZIP,Primary Category,Category Name
The Escape Challenge,1520 S 8th St,(314) 499-9999,63104,Escape Room,Themed Escape Rooms
Mastermind Escape Games,7322 Manchester Rd,(314) 328-1999,63143,Escape Room,Puzzle-Based Escapes
Breakout Games,1405 Washington Ave,(314) 241-1999,63103,Escape Room,Interactive Adventures
Trapped STL,1000 Spruce St,(314) 555-1000,63102,Escape Room,Horror-Themed Escapes
Escape STL,3197 S Grand Blvd,(314) 555-1001,63118,Escape Room,Family-Friendly
Topgolf Chesterfield,16851 N Outer 40 Rd,(636) 220-9244,63005,Golf,High-Tech Driving Range
Forest Park Golf Course,6141 Lagoon Dr,(314) 367-1337,63112,Golf,Public Golf Course
Gateway Golf Center,18 Golf Dr,(618) 482-4653,62234,Golf,Mini-Golf & Range
The Highlands Golf Club,11255 Golf Course Dr,(636) 532-9300,63005,Golf,Championship Course
Tapawingo National Golf,13001 Old Halls Ferry Rd,(314) 355-2200,63033,Golf,Pro-Level Course
Up-Down Arcade Bar,405 N Euclid Ave,(314) 669-1999,63108,Arcade,Retro Arcade Bar
Start Bar STL,612 N 2nd St,(314) 241-1999,63102,Arcade,Video Game Bar
The Silver Ballroom,4701 Morganford Rd,(314) 832-9223,63116,Arcade,Pinball Museum/Bar
Orbit Pinball Lounge,1901 Washington Ave,(314) 555-1002,63103,Arcade,Pinball Bar
Dave & Buster's,1550 Riverport Dr,(314) 298-1500,63043,Arcade,Family Entertainment
Alamo Drafthouse Cinema,3700 Forest Park Ave,(314) 352-1999,63108,Movie Theater,Dine-In Cinema
MX Movies,6180 Delmar Blvd,(314) 725-1999,63112,Movie Theater,Luxury Cinema
Hi-Pointe Drive-In,1033 McCausland Ave,(314) 781-1999,63117,Movie Theater,Vintage Drive-In
Moolah Theatre & Lounge,3821 Lindell Blvd,(314) 446-1999,63108,Movie Theater,Luxury Cinema
Chase Park Plaza Cinema,212 N Kingshighway Blvd,(314) 367-1999,63108,Movie Theater,Historic Theater
City Museum,750 N 16th St,(314) 231-1999,63103,Interactive,Playground Museum
The Magic House,516 S Kirkwood Rd,(314) 822-1999,63122,Interactive,Children's Museum
Myseum,2017 Chouteau Ave,(314) 555-1003,63103,Interactive,STEAM Museum
World Chess Hall of Fame,4652 Maryland Ave,(314) 367-9243,63108,Interactive,Specialty Museum
Sky Zone Trampoline Park,3844 S Lindbergh Blvd,(636) 489-1999,63127,Active,Trampoline Arena
Main Event St. Louis,17439 Chesterfield Airport Rd,(636) 536-1999,63005,Entertainment,Multi-Activity Center
Pinstripes,16851 N Outer 40 Rd,(636) 220-9244,63005,Entertainment,Upscale Bowling
