name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,,
St. Louis Kolache - Cottleville,"4506 Mid Rivers Mall Dr, Cottleville, MO 63376",(636) 244-1181,cottleville@stlkolache.com,38.7640558,-90.6338661,http://stlkolache.com/cottleville,United States,Missouri,St. Louis,4.6,248,63376,Restaurants,Restaurants,https://www.facebook.com/StlKolache/,https://www.instagram.com/stlkolache/,,
Nekter Juice Bar,"2436 State Hwy K, O'Fallon, MO 63368",(636) 294-5800,store8366@mynekter.com,38.7746887,-90.699356,https://locations.nekterjuicebar.com/ll/us/mo/o'fallon/2436-hwy-k/,United States,Missouri,St. Louis,4.6,63,63368,Restaurants,"Cafes,Juice shops,Restaurants,Açaí shops,Raw food restaurants,Breakfast restaurants,Vegan restaurants,Vegetarian restaurants,Gluten-free restaurants,Health food restaurants",https://www.facebook.com/nekterjuicebar,https://www.instagram.com/nekterjuicebar/,,
Strange Donuts,"107 E Argonne Dr, Kirkwood, MO 63122",(314) 394-2323,catering@strangedonuts.com,38.581338,-90.405963,http://www.strangedonuts.com/,United States,Missouri,St. Louis,4.2,290,63122,Restaurants,"Donut shops,Bakeries,Restaurants,Coffee shops,Bakery and Cake Shops",https://www.facebook.com/strangedonuts/,https://www.instagram.com/strangedonuts/,,
Village Café,"6985 Snow Way Dr, St. Louis, MO 63130",(314) 935-7098,diningservices@wustl.edu,38.6506084,-90.3141383,https://diningservices.wustl.edu/items/village-cafe/,United States,Missouri,St. Louis,0,0,63130,Restaurants,Restaurants,https://www.facebook.com/WashingtonUniversityDiningServices,https://instagram.com/wustldining,,
St. Louis Kolache,"14786 Manchester Rd, Ballwin, MO 63011",(636) 220-9159,info@stlkolache.com,38.5925426,-90.5367498,http://stlkolache.com/,United States,Missouri,St. Louis,4.6,363,63011,Restaurants,"Restaurants,Breakfast restaurants,Pastry shops",https://www.facebook.com/StlKolache/,https://www.instagram.com/stlkolache/,,
Gotham and Eggs,"3139 S Grand Blvd, St. Louis, MO 63118",(314) 833-8355,GotHamAndEggs.STL@gmail.com,38.6016723,-90.242697,https://www.gothamandeggs.com/,United States,Missouri,St. Louis,4.3,183,63118,Restaurants,Restaurants,https://www.facebook.com/GOThamAndEggs/,https://www.instagram.com/gothamandeggs/,,
DraftKings at Casino Queen,"200 Front St, East St Louis, IL 62201",(618) 874-5000,cqhosts@casinoqueen.com,38.625882,-90.174103,https://draftkingsatcasinoqueen.com/,United States,Missouri,St. Louis,3.8,3648,62201,Restaurants,"Hotels,Event venues,Bars,Restaurants,Sports bars,Banquet halls,Gambling houses,Casinos,Lounges",https://www.facebook.com/DraftKingsatCasinoQueen/,https://www.instagram.com/draftkingsatcasinoqueen,,
Mac's Local Eats,"5656 Oakland Ave, St. Louis, MO 63110",(314) 393-7713,macslocalbuys@gmail.com,38.6301504,-90.2813523,http://www.macslocaleats.com/,United States,Missouri,St. Louis,4.6,2060,63110,Restaurants,"Restaurants,American restaurants",https://www.facebook.com/macslocaleats/,https://www.instagram.com/macslocaleats/,,
John P. Field’s,"15 N Central Ave, Clayton, MO 63105",(314) 862-1886,jpfclayton@gmail.com,38.6508378,-90.3383463,http://www.jpfieldsclayton.com/,United States,Missouri,St. Louis,3.9,189,63105,Restaurants,"Restaurants,Sports bars",https://www.facebook.com/494287787413550,https://www.instagram.com/johnpfields,,
The Clover and the Bee,"100 W Lockwood Ave, Webster Groves, MO 63119",(314) 942-1216,info@thecloverandthebee.com,38.5928358,-90.3589758,http://www.thecloverandthebee.com/,United States,Missouri,St. Louis,4.5,691,63119,Restaurants,"Breakfast restaurants,Restaurants,Coffee shops,Bakery and Cake Shops,Wine bars,Bakeries,Cafes",https://www.facebook.com/cloverstl/,https://www.instagram.com/clover_stl/,,
